Inicio: 2022-05-25

WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (22)
WM_NCACTIVATE (719321)
WM_DESTROY (3)
WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (19)
WM_NCACTIVATE (721698)
WM_DESTROY (3)
WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (22)
WM_NCACTIVATE (1190232)
WM_DESTROY (3)
WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (19)
WM_NCACTIVATE (4342248)
WM_DESTROY (3)
WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (19)
WM_NCACTIVATE (67948569)
WM_DESTROY (3)
WM_PARENTNOTIFY (5)
WM_CREATE (0)
WM_SHOWWINDOW (1)
WM_ACTIVATEAPP (3)
WM_NCACTIVATE (1)
WM_PAINT (22)
WM_NCACTIVATE (838)
WM_DESTROY (3)
